id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
5vwjJx6VnVj8Y43bQSb26k,Time,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],11,1,FALSE,0.432,0.975,11,-6.916,1,0.186,0.000156,0.686,0.125,0.329,150.193,190333,4,1998,10/1/1998
4smDo9NdHNLe8CFzX9KptZ,Move On,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],12,1,FALSE,0.566,0.903,7,-5.955,1,0.0372,0.00107,0.000102,0.103,0.962,88.023,248133,4,1998,10/1/1998
6GoC5TMgK4S08xHutcl9SS,Fly Daze,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],13,1,FALSE,0.657,0.624,2,-7.982,1,0.0474,0.000338,6.19E-05,0.112,0.927,115.104,273427,4,1998,10/1/1998
5zy5GyMMR1ki2yJdQcA2zK,Bootylicious Vinyl,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],14,1,FALSE,0.746,0.895,11,-5.349,0,0.0786,0.0102,0.0122,0.115,0.957,108.285,206360,4,1998,10/1/1998
6x7c49NEWt9cM9nHiSntQd,Swing (Radio Edit),Swing Set,16707paUqnfatdD8OwN3Dc,['Ani DiFranco'],['0AiTwNtYX8m4uhfU7rJ8RD'],1,1,FALSE,0.834,0.596,10,-9.673,0,0.178,0.446,1.36E-05,0.0656,0.632,91.819,237187,4,2000,7/11/2000
2TgoTfwHpcS0SRLtjv2pjX,Road to Recovery,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],10,1,FALSE,0.363,0.954,0,-4.548,1,0.0594,9.38E-05,0.00278,0.0858,0.537,126.187,213760,4,2001,2001
6WiYRSISizezL863jXH9He,Stop Whining,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],11,1,FALSE,0.507,0.946,0,-4.639,1,0.0435,0.00079,0.000648,0.0761,0.7,119.49,159707,4,2001,2001
43mywkNjFsKXnSmEcb2dKK,Selfishness,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],12,1,FALSE,0.409,0.935,6,-5.036,1,0.0715,0.00021,0.00721,0.281,0.448,116.794,206053,4,2001,2001
1325yD8R15P8RbBseaWtUJ,Tears,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],13,1,FALSE,0.426,0.818,7,-4.791,0,0.0381,0.000325,0.000181,0.233,0.311,110.254,183427,3,2001,2001
6U5aVdoRcrPiGdMe8sqNEr,Save The World,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],14,1,FALSE,0.303,0.959,1,-4.894,0,0.0644,0.000335,0.00106,0.117,0.412,118.728,211173,4,2001,2001
4YrcPTas05vOff8EBgtdOg,The Wrath,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],15,1,FALSE,0.387,0.813,7,-6.805,1,0.0947,0.00663,0.855,0.096,0.362,111.61,109653,4,2001,2001
3YpLIrG8hG6fACaFA7NAxM,Dance On Your Knees,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1,1,FALSE,0.561,0.814,9,-10.302,0,0.0593,0.000648,0.508,0.623,0.86,117.043,86773,4,1984,10/12/1984
0Z6HB6G3qBPZ4nMSLeS3iJ,Going Thru the Motions,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],6,1,FALSE,0.728,0.713,4,-7.72,0,0.0329,0.11,0.0671,0.0755,0.907,93.93,339480,4,1984,10/12/1984
3j9lPAzxb8PiVvLniL0DM9,Cold Dark and Yesterday,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],7,1,FALSE,0.705,0.759,9,-9.369,0,0.039,0.13,0.000411,0.177,0.955,121.9,279440,4,1984,10/12/1984
4kETpZkCBKLh3ahibBrgov,All American Girl,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],8,1,FALSE,0.66,0.863,3,-9.754,1,0.0543,0.0435,0.000297,0.0711,0.966,96.849,268360,4,1984,10/12/1984
3gGmv4fCgzDU4zbLXMXWmh,Possession Obsession,Big Bam Boom,3RZ6xnejkUMgzmkdlsywFu,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],9,1,FALSE,0.757,0.532,7,-9.62,0,0.0283,0.119,4.36E-06,0.1,0.896,114.822,275960,4,1984,10/12/1984
4YjsbjDS1T3LxRRm5YSO4o,I Love You,The Jesus Experience,1XC4UMt4DU5SyArX2xWozu,['Bride'],['3G7qoMSLvu9Pmb0xGtf9fl'],1,1,FALSE,0.502,0.942,1,-6.646,1,0.0483,8.68E-05,0.0678,0.301,0.816,138.999,176960,4,1997,1/1/1997
58tTEyns0vNaqD3MJTRJfY,The Worm,The Jesus Experience,1XC4UMt4DU5SyArX2xWozu,['Bride'],['3G7qoMSLvu9Pmb0xGtf9fl'],2,1,FALSE,0.599,0.709,8,-6.451,1,0.0395,0.0112,0.000148,0.109,0.364,120.806,271733,4,1997,1/1/1997
0YKCWL79rIREHoIuRxWjWY,Made of Stone,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],9,1,FALSE,0.292,0.724,7,-15.71,1,0.0401,0.239,0.0375,0.326,0.627,131.589,253800,4,1995,5/15/1995
3ESOHGGy5iudYxsKos0Nmm,Going Down,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],10,1,FALSE,0.541,0.593,2,-14.583,1,0.0286,0.144,0.137,0.142,0.673,122.049,166240,4,1995,5/15/1995
0ExdhdeNjherFcr3AIo4Oe,She Bangs the Drums,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],11,1,FALSE,0.295,0.899,9,-11.625,1,0.0727,0.0523,0.00397,0.122,0.584,145.226,222573,4,1995,5/15/1995
4Y2ZCBknktoa8twMVN73La,Mersey Paradise,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],12,1,FALSE,0.428,0.856,7,-11.522,1,0.033,0.0621,0,0.136,0.9,135.832,164800,4,1995,5/15/1995
6TUBYv0ePSuFrAFfV7anY1,Standing Here,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],13,1,FALSE,0.28,0.594,9,-15.086,1,0.0339,0.56,0.125,0.138,0.527,99.659,307267,4,1995,5/15/1995
7lFz61v5oVUojYwiNJ3UYB,I Wanna Be Adored,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],14,1,FALSE,0.555,0.857,4,-11.78,0,0.0269,0.0195,0.0435,0.0851,0.785,112.668,209093,4,1995,5/15/1995
6dB382fLtwm6zPTznmhtBC,Waterfall,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],15,1,FALSE,0.523,0.532,11,-14.936,1,0.0279,0.0055,0.000622,0.0975,0.554,103.399,217200,4,1995,5/15/1995
7bcajrrXiOKemdiCuO0SzW,"Rock and Roll, Hoochie Koo",Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],8,1,FALSE,0.561,0.657,9,-11.87,0,0.034,0.224,3.72E-06,0.251,0.901,94.507,211023,4,1973,1973
5zWttk4d32kL5VsXrCK9G9,Rock Me Baby,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],9,1,FALSE,0.284,0.706,4,-10.447,0,0.0785,0.45,0.145,0.15,0.696,190.284,229135,4,1973,1973
3PiVLjJVEtOWndg8Ulknif,Rock & Roll,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],10,1,FALSE,0.394,0.706,7,-12.147,1,0.0556,0.07,0.00627,0.148,0.563,141.695,284723,4,1973,1973
0hAElYbdXZbnge3xkcSTem,Sitting In The Jailhouse,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],11,1,FALSE,0.418,0.861,5,-8.35,1,0.0558,0.00483,0.000102,0.169,0.625,135.582,198809,4,1973,1973
4xg0j0Xc8ZCEFLqBLE0Cde,Baby Watcha Want Me To Do - Live,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],12,1,FALSE,0.36,0.804,2,-9.972,1,0.0586,0.565,0.00327,0.983,0.695,109.264,671707,4,1973,1973
