id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
79DGZVxH9wGZ7fT8lk0Dgc,Whole New You,Whole New You,4qye8JvPSQlrkc3rOTfZmS,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],2,1,FALSE,0.629,0.781,5,-7.255,1,0.024,0.0817,0.000309,0.083,0.674,105.976,240600,4,2001,3/20/2001
6dTwUqQFJRIqz6wh0ZWJfg,Nothing Like You,Whole New You,4qye8JvPSQlrkc3rOTfZmS,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],3,1,FALSE,0.514,0.422,0,-12.352,1,0.0321,0.653,0.00446,0.343,0.433,147.992,192067,4,2001,3/20/2001
3VHmMXBZebhbk5WnjxDgFc,Worlds Apart - Live From The Eleventh Hour Tour,"Furthermore: From the Studio, From the Stage",6DKartIgPAW1UA9YlvSvAo,['Jars Of Clay'],['1lMaDSraU3oiNUsVWJLHdF'],11,2,FALSE,0.225,0.667,4,-6.667,1,0.0443,0.251,0.00017,0.339,0.202,92.51,652080,4,2003,2/4/2003
6RxC3waOdRWE7GbNEuZ2Qa,Estoy Enamorado de Ti,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),13NCFsw0EMj0JHwC9KaYwK,['Juan Gabriel'],['2MRBDr0crHWE5JwPceFncq'],6,1,FALSE,0.533,0.514,7,-8.166,1,0.0265,0.322,0,0.631,0.767,108.947,194667,4,1996,1/11/1996
6XkmguZ5hiQeAOHxh6harZ,Cold,Cheap Date,1s0s3uUaU5CVFAYU17ZAuR,['Crossfade'],['4IR8ZkpbyyKrqsIzchF3NB'],11,1,FALSE,0.451,0.839,2,-4.264,0,0.037,3.33E-05,0,0.164,0.644,147.963,198400,4,2003,1/21/2003
3el4hSHirhLNdbFXqpF2pY,Dream Body,Groove Tribe,4Arv2qXssKmDhOxKW9pUcO,['David & Steve Gordon'],['4yt002Vil1q4Vl9JOx48QG'],6,1,FALSE,0.68,0.403,11,-14.023,0,0.0456,0.256,0.768,0.299,0.46,128.024,431075,3,2011,9/13/2011
2l5YwFuysPVZm3De3JicrR,C'est l'amour,Trop précieux,6GxUJzRzNvhCKWvxk1wW3T,['Les Wampas'],['2nsGWZA0LtO7istBNsyNTE'],2,1,FALSE,0.264,0.773,9,-8.894,1,0.0628,0.02,3.02E-05,0.218,0.523,162.773,132400,4,1995,10/23/1995
1yuHYFACJMHKXyVLLwo2kj,Big Balls In Cowtown,Live at Billy Bob's Texas,4lZz3iIX7TFD31msCkui68,['Asleep At The Wheel'],['54tWKkrjv4bQgKrQrNlecm'],15,1,FALSE,0.489,0.794,0,-8.822,1,0.0943,0.732,0.461,0.893,0.519,126.794,260040,4,2003,11/3/2003
5nKe9PgCtEhqdnvXAQIBhF,Horn Intro,Good News For People Who Love Bad News,0TGTGuc2vXv6ZECoAf52N0,['Modest Mouse'],['1yAwtBaoHLEDWAnWR87hBT'],1,1,FALSE,0,0.475,1,-4.701,1,0,0.0131,0.0908,0.399,0,0,9867,0,2004,4/5/2004
5ngtOsHbydmC5nRMfMqKb4,Storm Warning - Live from CMT Listen Up,Hunter Hayes: Live,4zSTxtRhhCRtIxXsW1CQUd,['Hunter Hayes'],['7H6dkUChT5EoOQtUVMg4cN'],1,1,FALSE,0.312,0.917,2,-5.088,1,0.0834,0.0468,1.15E-06,0.843,0.492,185.834,328507,4,2012,10/16/2012
